砂,壤,粘
30.8,41.4,27.8
25.4,48.4,26.2
23,48.4,28.6
22.5,48,29.5
29.7,40.1,30.2
27.7,37.6,34.7
25.9,39.3,34.9
29.2,46.4,24.5
30.4,41.9,27.6
32.1,41.9,26
27,42.1,30.8
25.8,41.4,32.9
30.5,38.3,31.3
31.1,47.7,21.3
26.9,47.6,25.5
37.1,35.7,27.2
34.3,41.2,24.5
33,38.8,28.2
42.1,39.5,18.4
NA,NA,NA
39.5,39,21.5
25.4,48.9,25.7
25.3,46.3,28.4
26.2,41,32.8
30.2,38.1,31.8
27.7,46.2,26.1
27.1,48.2,24.7
29.6,41.1,29.3
21.3,51.8,26.9
26,46.7,27.3
28.5,40.5,30.9
31.8,41.2,27.1
33.5,36.7,29.8
34.6,38.6,26.8
31,46.8,22.1
29.2,49,21.8
25,50.1,24.9
24.7,49.3,26.1
26.9,50.5,22.6
27.4,44.7,27.9
26,50.8,23.2
25.9,43.6,30.5
27.6,46,26.4
26,45.4,28.6
32.1,38.1,29.7
30.8,41.5,27.7
33.8,45.7,20.5
39.7,40.2,20.1
37.5,40.4,22
43.1,38.8,18.2
34,41.9,24.1
34.4,41.1,24.4
24.6,49.6,25.8
25.3,43.7,31
26.6,44.5,28.9
26.4,41.9,31.7
25.4,47.1,27.5
32.3,41.2,26.5
25.7,44.4,29.9
25.8,52.4,21.8
28.3,47.6,24.1
25.9,52.5,21.5
24.4,52.7,22.9
